Video Name,Frame Number,Right Knee Angle,Right Hip Angle,Right Ankle Angle,Left Knee Angle,Left Hip Angle,Left Ankle Angle
vid4,11,165.28,155.98,143.96,160.39,133.64,151.46
vid4,12,163.18,156.76,141.81,164.16,138.35,148.47
vid4,13,162.22,157.52,141.07,164.5,140.23,144.6
vid4,14,162.54,158.95,140.71,162.53,140.93,138.2
vid4,15,163.1,160.54,140.49,162.22,144.13,139.14
vid4,16,163.74,162.5,139.95,163.14,147.9,138.11
vid4,17,166.43,166.03,140.87,164.13,151.25,139.06
vid4,18,167.67,168.57,142.28,164.24,154.27,138.8
vid4,19,170.12,173.05,143.39,165.38,159.44,139.04
vid4,20,172.43,177.54,142.76,166.98,163.61,138.86
vid4,21,174.93,178.59,143.53,168.97,166.73,137.31
vid4,22,176.85,175.12,143.64,171.11,169.39,132.83
vid4,23,176.87,174.04,142.76,173.2,171.98,129.07
vid4,24,175.47,174.11,139.13,174.41,173.36,130.47
vid4,25,174.91,174.13,137.39,175.64,174.91,130.2
vid4,26,174.88,173.12,138.01,176.89,177.32,127.54
vid4,27,173.5,173.81,136.37,176.61,177.72,126.62
vid4,28,173.43,173.41,136.97,177.05,178.77,126.9
vid4,29,174.53,171.31,136.98,177.41,179.09,127.0
vid4,30,173.64,171.12,136.54,177.55,177.85,127.17
vid4,31,171.89,171.51,136.57,176.88,177.79,126.96
vid4,32,169.85,172.86,135.14,175.53,178.77,127.0
vid4,33,169.06,173.18,130.85,175.61,178.61,127.86
vid4,34,170.81,171.86,128.66,175.03,178.37,129.98
vid4,35,171.58,172.29,129.0,174.89,178.17,131.39
vid4,36,171.76,172.77,130.62,175.28,178.09,131.94
vid4,37,171.57,172.43,130.52,176.07,177.25,131.91
vid4,38,171.19,172.65,129.44,177.21,176.59,130.99
vid4,39,170.98,172.52,130.16,178.0,175.97,132.72
vid4,40,172.07,171.75,132.24,178.76,175.3,133.68
vid4,41,172.65,171.52,133.33,178.76,175.03,134.54
vid4,42,172.98,171.26,134.22,178.66,174.75,133.82
vid4,43,172.74,171.51,133.59,178.69,174.74,133.73
vid4,44,172.68,172.01,134.69,178.68,174.87,133.79
vid4,45,172.69,172.16,135.41,177.8,175.26,133.49
vid4,46,172.3,172.49,134.72,176.87,175.75,132.82
vid4,47,172.33,172.53,134.21,176.43,175.77,132.0
vid4,48,172.36,172.54,133.1,176.15,175.83,132.13
vid4,49,172.46,172.51,132.56,175.73,176.01,132.27
vid4,50,172.49,172.52,132.08,175.69,176.03,132.29
vid4,51,172.42,172.6,132.06,175.43,176.12,132.31
vid4,52,172.34,172.58,132.07,175.23,176.07,133.46
vid4,53,171.79,173.64,132.09,175.04,176.16,135.59
vid4,54,171.22,174.88,133.01,175.18,176.06,136.81
vid4,55,171.1,175.24,133.01,175.58,176.15,136.95
vid4,56,171.53,174.89,132.95,177.37,175.58,137.75
vid4,57,171.78,174.3,131.73,178.91,174.87,137.75
vid4,58,172.63,173.72,131.11,179.71,174.73,137.23
vid4,59,173.92,172.86,131.91,179.94,175.19,136.99
vid4,60,175.01,172.45,132.36,179.79,175.32,136.83
vid4,61,176.19,172.02,132.92,179.85,175.06,137.02
vid4,62,177.05,171.87,132.39,179.85,175.08,136.3
vid4,63,178.5,171.16,131.95,179.2,174.25,136.11
vid4,64,179.89,170.4,133.76,178.89,173.48,136.53
vid4,65,179.82,170.32,133.55,178.83,173.15,136.28
vid4,66,179.92,170.53,133.93,178.43,172.57,136.46
vid4,67,179.84,171.23,132.95,178.23,172.75,135.21
vid4,68,178.89,172.2,131.97,178.3,173.14,134.85
vid4,69,177.72,172.61,131.28,177.66,173.22,135.46
vid4,70,176.87,173.18,130.71,177.51,173.49,134.52
vid4,71,176.04,173.69,130.02,177.61,173.55,134.35
vid4,72,173.42,174.26,124.47,177.38,173.06,134.04
vid4,73,171.51,175.17,121.76,177.98,173.6,133.03
vid4,74,169.0,176.39,123.04,178.52,174.43,132.42
vid4,75,166.55,177.27,124.12,178.58,174.65,131.44
vid4,76,163.31,179.01,126.29,177.54,176.33,130.34
vid4,77,161.78,179.79,132.1,174.73,177.6,130.75
vid4,78,163.36,179.07,137.03,172.91,178.22,131.68
vid4,79,166.38,177.3,137.5,171.81,177.77,131.85
vid4,80,162.7,179.1,133.74,172.85,177.63,132.26
vid4,81,159.42,177.23,132.5,173.77,177.79,133.74
vid4,82,162.01,176.48,135.94,175.64,177.97,138.09
vid4,83,165.39,176.41,131.23,176.4,178.06,139.99
vid4,84,169.87,177.4,127.53,177.74,176.5,136.8
vid4,85,170.21,174.16,117.68,178.33,175.83,133.42
vid4,86,174.01,173.09,116.1,178.76,175.69,132.06
vid4,87,176.17,171.44,116.16,178.97,175.65,129.64
vid4,88,175.4,170.43,108.54,178.83,174.95,126.7
vid4,89,175.69,170.1,109.21,177.75,174.56,127.1
vid4,90,173.83,168.67,112.29,178.05,172.48,127.23
vid4,91,171.97,168.63,114.51,177.48,171.6,130.24
vid4,92,172.85,169.37,121.74,171.64,173.57,131.58
vid4,93,174.56,171.88,123.37,166.34,173.99,134.26
vid4,94,172.4,172.55,120.16,161.47,174.87,136.34
vid4,95,172.58,174.08,122.3,151.79,178.72,139.04
vid4,96,170.89,174.93,119.94,146.44,179.45,142.76
vid4,97,170.35,175.02,119.29,144.45,178.95,141.88
vid4,98,170.85,178.21,118.73,146.27,179.31,138.0
vid4,99,171.73,179.57,118.8,147.26,179.23,129.46
vid4,100,173.42,179.77,120.62,141.6,175.42,134.89
vid4,101,176.35,178.69,124.76,145.55,173.93,141.17
vid4,102,178.88,176.31,133.27,152.06,173.18,131.62
vid4,103,179.95,174.31,133.87,155.67,171.64,124.55
vid4,104,178.43,170.79,133.04,163.8,170.33,129.91
vid4,105,179.93,170.83,130.98,170.39,170.39,128.46
vid4,106,179.67,169.18,129.77,177.02,170.89,115.71
vid4,107,179.15,167.77,129.99,178.91,170.69,106.61
vid4,108,177.22,168.09,131.08,177.65,170.77,106.69
vid4,109,174.96,168.03,131.87,173.36,169.19,122.57
vid4,110,171.63,168.24,133.06,170.96,169.82,126.37
vid4,111,166.17,169.28,136.17,171.27,171.76,128.77
vid4,112,158.04,171.92,140.32,174.03,174.21,126.38
vid4,113,148.28,176.7,144.0,176.68,177.42,127.18
vid4,114,142.43,178.95,149.61,175.34,177.64,130.86
vid4,115,139.18,178.01,145.22,174.67,178.76,126.45
vid4,116,141.36,176.85,136.41,173.66,179.16,126.43
vid4,117,149.9,176.02,142.05,168.54,179.15,126.39
vid4,118,158.59,177.25,138.26,165.14,179.05,132.19
vid4,119,162.56,177.36,138.19,163.8,178.77,133.39
vid4,120,171.01,179.82,137.66,159.24,175.91,131.95
vid4,121,171.8,178.93,132.73,167.12,174.65,137.61
vid4,122,173.69,173.1,116.37,178.55,179.49,143.87
vid4,123,176.24,169.96,108.18,176.44,178.59,148.97
vid4,124,178.2,170.72,103.53,174.25,177.96,148.67
vid4,125,179.96,168.79,95.17,174.64,175.25,139.34
vid4,126,175.9,166.6,100.17,177.44,174.38,132.55
vid4,127,171.72,166.17,93.72,178.08,174.52,123.62
vid4,128,169.22,166.45,105.09,173.48,174.53,121.57
vid4,129,165.25,166.56,111.27,165.23,177.07,126.5
vid4,130,163.82,167.82,111.45,158.09,177.94,132.16
vid4,131,164.14,169.92,111.85,152.75,178.35,140.02
vid4,132,166.16,171.75,113.21,144.84,177.12,143.84
vid4,133,168.6,174.69,113.49,139.18,174.82,143.57
vid4,134,167.81,175.77,113.51,140.84,176.08,136.95
vid4,135,167.34,176.87,113.1,142.25,175.01,135.53
vid4,136,167.91,178.38,111.78,150.27,174.78,138.35
vid4,137,170.6,179.8,113.11,154.42,175.23,138.14
vid4,138,170.83,179.48,121.07,156.27,174.79,128.71
vid4,139,172.83,178.58,122.36,164.92,177.44,114.59
vid4,140,174.8,177.61,127.42,166.63,176.59,118.09
vid4,141,177.08,175.77,128.08,172.35,174.72,116.14
vid4,142,176.89,175.58,127.69,178.06,173.97,114.48
vid4,143,176.96,175.57,126.75,179.88,172.35,109.7
vid4,144,175.1,174.76,126.24,179.89,172.18,108.2
vid4,145,174.03,173.72,124.93,176.92,172.63,104.63
vid4,146,170.44,173.24,123.2,176.17,172.58,118.32
vid4,147,164.34,174.22,121.92,172.49,173.64,121.55
vid4,148,156.24,176.9,123.52,170.67,173.98,120.35
vid4,149,145.5,178.24,127.74,170.6,173.74,124.27
vid4,150,139.8,176.79,135.16,169.69,173.35,122.26
vid4,151,141.21,175.88,142.25,168.04,172.88,121.66
vid4,152,142.82,175.27,137.85,165.07,172.58,125.85
vid4,153,142.98,172.75,135.85,160.96,172.32,126.18
vid4,154,148.77,172.08,143.73,166.11,175.33,130.89
vid4,155,150.58,171.85,137.86,171.65,177.28,135.79
vid4,156,155.73,171.13,134.32,173.03,178.32,136.58
vid4,157,162.57,172.73,124.09,173.63,178.67,123.2
vid4,158,169.8,171.7,110.47,174.44,179.71,115.43
vid4,159,175.13,170.63,112.64,174.94,179.4,110.97
vid4,160,179.78,170.68,100.7,175.72,178.19,112.68
vid4,161,178.42,169.94,98.17,175.91,177.77,114.18
vid4,162,179.76,169.17,101.02,175.78,177.21,114.16
vid4,163,175.6,167.89,101.85,175.05,176.27,113.57
vid4,164,172.85,167.19,106.85,174.27,175.57,117.36
vid4,165,170.03,167.32,113.19,172.28,175.3,123.17
vid4,166,167.98,166.76,116.95,168.79,175.78,125.06
vid4,167,164.9,166.52,115.9,163.42,176.84,136.03
vid4,168,165.92,169.68,115.6,160.56,176.22,137.33
vid4,169,170.28,172.97,113.06,153.27,178.51,138.69
vid4,170,173.34,174.83,116.63,147.03,178.82,140.13
vid4,171,172.24,175.36,114.08,139.99,175.0,138.2
vid4,172,171.21,175.84,113.21,139.4,172.69,136.76
vid4,173,170.56,175.87,111.48,143.04,173.01,135.77
vid4,174,172.49,177.47,112.05,147.25,173.82,134.72
vid4,175,175.26,178.09,114.3,154.32,173.36,122.13
vid4,176,176.53,178.94,120.91,157.9,166.94,75.03
vid4,177,176.18,177.91,121.78,157.97,167.43,110.38
vid4,178,178.37,178.11,127.01,163.92,170.27,128.03
vid4,179,179.84,178.87,124.47,167.86,172.67,111.93
vid4,180,178.7,179.73,122.51,169.22,173.73,98.8
vid4,181,175.6,179.88,121.03,171.22,174.1,104.76
vid4,182,173.12,179.51,117.98,169.82,173.9,109.24
vid4,183,170.27,179.12,114.22,167.55,173.84,112.39
vid4,184,167.21,177.9,123.52,165.65,173.63,119.14
vid4,185,164.14,177.26,128.62,163.13,174.38,113.35
vid4,186,157.92,175.23,136.41,162.36,173.88,119.08
vid4,187,152.06,172.77,141.15,162.79,173.82,136.12
vid4,188,149.33,170.94,148.7,163.88,173.58,143.46
vid4,189,148.05,169.81,146.17,168.37,175.97,136.0
vid4,190,146.38,168.38,144.17,173.75,177.93,136.93
vid4,191,146.58,167.54,139.6,174.35,179.09,140.81
vid4,192,152.31,168.13,131.11,175.6,179.54,145.06
vid4,193,163.79,170.41,136.43,175.23,179.77,142.42
vid4,194,172.63,172.56,142.65,174.86,179.72,151.84
vid4,195,176.13,172.32,139.23,173.88,179.74,154.3
vid4,196,177.63,172.51,139.97,174.35,179.37,157.93
vid4,197,176.14,171.83,135.89,173.98,179.08,151.19
vid4,198,175.55,171.52,133.76,173.83,178.8,149.42
vid4,199,175.39,171.7,135.2,173.01,178.75,142.79
vid4,200,176.03,172.21,128.45,172.05,178.51,134.14
vid4,201,175.96,173.06,131.15,171.36,178.63,132.85
vid4,202,175.9,173.16,135.56,169.91,179.36,130.28
vid4,203,176.06,173.02,138.49,169.01,179.87,121.52
vid4,204,176.01,172.99,136.17,168.12,179.28,116.56
vid4,205,175.52,172.67,110.3,167.14,177.73,113.19
vid4,206,174.93,172.74,102.57,165.54,176.22,111.18
vid4,207,175.29,172.74,99.11,163.82,175.45,115.88
vid4,208,173.55,170.88,95.65,162.53,174.3,115.66
vid4,209,173.12,169.81,115.9,162.37,174.44,113.1
vid4,210,176.33,171.16,128.36,164.63,174.29,115.1
vid4,211,179.46,173.33,127.73,167.28,174.46,116.33
vid4,212,179.57,175.38,122.79,169.31,174.19,117.45
vid4,213,178.78,174.93,121.74,170.86,173.77,116.98
vid4,214,174.84,173.68,123.92,171.35,172.98,115.9
vid4,215,169.9,172.44,130.05,171.84,171.87,125.78
vid4,216,166.51,170.75,131.4,168.62,172.6,135.95
vid4,217,162.51,169.64,129.16,168.98,172.43,136.08
vid4,218,161.39,169.62,127.7,164.3,173.46,133.17
vid4,219,162.0,171.43,133.78,168.33,174.78,137.14
vid4,220,166.25,175.61,141.93,175.35,178.25,145.15
vid4,221,169.04,177.47,152.61,176.88,178.46,144.06
vid4,222,172.51,179.35,170.46,177.97,179.31,144.16
vid4,223,178.17,178.97,170.51,177.75,179.03,143.81
vid4,224,179.18,178.24,156.81,177.83,178.79,146.35
vid4,225,177.88,177.57,153.92,177.94,178.4,147.74
vid4,226,177.59,177.02,152.01,178.59,178.4,150.37
vid4,227,176.22,175.94,148.04,178.44,178.24,151.88
vid4,228,175.62,174.86,146.56,177.94,177.46,152.62
vid4,229,175.64,174.42,147.72,176.4,176.72,148.03
vid4,230,174.6,173.49,148.22,174.15,175.8,148.34
vid4,231,174.29,173.71,148.1,172.12,174.52,149.23
vid4,232,174.37,174.05,146.32,171.67,172.76,156.48
vid4,233,175.2,174.65,145.63,174.71,172.9,166.04
vid4,234,175.43,175.31,143.84,177.9,172.76,173.19
vid4,235,175.7,175.52,142.2,176.45,174.45,176.25
vid4,236,176.3,176.36,141.27,172.51,176.2,168.9
vid4,237,175.22,175.49,137.23,167.9,178.93,161.62
vid4,238,174.29,174.4,136.76,164.17,178.25,152.28
vid4,239,174.22,175.19,135.63,163.14,175.73,137.76
vid4,240,174.5,176.37,136.67,163.7,173.58,133.04
vid4,241,171.12,175.51,134.83,163.28,172.42,133.75
vid4,242,168.52,175.05,124.65,164.8,170.65,128.93
vid4,243,171.22,175.95,130.92,164.7,168.76,127.58
vid4,244,173.7,176.89,126.85,168.82,169.49,129.38
vid4,245,176.4,177.89,125.95,173.62,169.15,128.18
vid4,246,177.98,179.23,124.46,176.36,169.31,128.95
vid4,247,177.61,179.27,127.39,178.37,170.16,123.99
vid4,248,178.24,176.47,127.99,178.89,171.96,116.98
vid4,249,177.67,175.53,129.29,177.24,172.25,116.91
vid4,250,175.84,174.78,129.62,173.14,170.33,122.81
vid4,251,171.81,174.89,131.86,169.92,170.1,128.62
vid4,252,168.04,174.5,134.73,168.4,171.14,123.98
vid4,253,162.86,174.52,138.06,168.88,171.85,124.73
vid4,254,154.86,178.39,143.6,167.88,171.18,124.42
vid4,255,152.8,177.99,143.75,169.66,172.56,124.39
vid4,256,149.9,178.81,139.4,169.62,174.47,124.4
vid4,257,156.32,179.84,135.27,171.15,177.3,126.99
vid4,258,155.76,175.85,138.4,170.96,177.89,127.76
vid4,259,155.46,174.87,126.44,172.09,179.93,132.89
vid4,260,153.0,173.36,131.71,177.53,175.72,131.11
vid4,261,153.41,168.91,128.32,179.66,173.71,127.87
vid4,262,158.17,167.06,125.64,178.77,174.43,126.73
vid4,263,164.35,167.64,123.82,179.3,173.82,124.31
vid4,264,173.47,169.01,113.67,179.9,171.91,123.55
vid4,265,176.61,169.26,105.46,179.91,169.86,123.22
vid4,266,174.14,168.25,98.86,179.39,168.08,124.25
vid4,267,171.19,167.81,104.28,176.01,167.91,125.95
vid4,268,168.15,167.85,110.02,171.37,168.53,130.66
vid4,269,165.71,170.58,114.24,165.35,171.27,136.98
vid4,270,167.32,172.23,116.68,158.25,173.45,140.18
vid4,271,170.35,173.51,120.44,145.9,179.28,143.76
vid4,272,171.71,175.92,122.46,139.0,176.68,148.83
vid4,273,171.05,173.59,121.58,139.04,174.93,147.12
vid4,274,165.99,175.36,118.55,144.31,174.46,145.86
vid4,275,168.55,176.86,125.57,143.93,171.45,146.02
vid4,276,169.41,178.18,128.85,150.95,176.09,145.5
vid4,277,170.87,177.82,135.46,147.73,170.22,135.98
vid4,278,172.04,179.09,135.65,155.07,169.39,138.24
vid4,279,174.26,178.0,133.32,163.69,168.83,133.86
vid4,280,175.62,176.0,133.35,173.89,170.27,140.28
vid4,281,176.51,175.17,132.82,179.71,170.66,121.82
vid4,282,176.84,172.95,131.43,178.92,169.85,115.04
vid4,283,175.06,172.73,129.67,175.95,167.66,109.65
vid4,284,172.53,171.26,131.48,171.67,167.85,121.75
vid4,285,168.09,171.82,135.11,168.71,167.44,129.6
vid4,286,160.45,172.41,140.65,167.62,170.16,128.98
vid4,287,149.92,174.72,142.96,169.65,171.5,129.63
vid4,288,140.5,179.07,140.47,169.6,174.28,126.86
vid4,289,137.14,177.61,133.59,172.36,177.53,128.91
vid4,290,143.08,176.38,139.68,171.99,176.62,124.15
vid4,291,156.25,176.07,131.06,173.84,178.4,122.26
vid4,292,163.5,174.16,129.68,176.38,179.91,124.44
vid4,293,160.27,176.0,127.43,177.11,179.42,121.84
vid4,294,160.26,174.72,130.86,179.46,178.84,124.99
vid4,295,165.15,174.05,134.78,177.08,178.92,129.05
vid4,296,170.97,174.28,130.83,177.62,178.9,131.36
vid4,297,178.8,175.91,120.11,176.94,177.17,131.65
vid4,298,179.66,175.61,110.33,175.0,175.08,128.79
vid4,299,176.4,175.67,121.27,173.26,175.64,129.05
vid4,300,173.04,175.9,125.3,169.96,175.96,130.05
vid4,301,168.56,173.82,121.65,164.42,175.11,134.59
vid4,302,167.75,172.12,121.04,155.05,179.14,137.94
vid4,303,169.2,172.2,128.11,145.83,177.32,142.05
vid4,304,163.54,172.29,122.89,139.69,174.46,146.67
vid4,305,161.19,170.54,125.74,139.35,174.18,141.37
vid4,306,160.12,171.1,123.57,136.9,170.39,141.94
vid4,307,161.15,172.01,127.1,138.1,168.25,143.92
vid4,308,166.47,174.85,137.42,134.21,166.4,146.1
vid4,309,165.22,176.17,135.93,140.28,166.5,138.48
vid4,310,169.06,179.13,138.54,152.13,168.56,138.01
vid4,311,169.08,179.21,136.21,163.11,167.34,133.67
vid4,312,168.26,179.79,135.26,171.61,167.93,138.76
vid4,313,168.04,179.68,136.24,176.7,167.91,132.69
vid4,314,168.11,178.49,136.55,177.42,168.38,125.51
vid4,315,166.02,176.83,135.98,174.86,168.84,129.49
vid4,316,160.82,177.74,138.17,169.13,166.89,131.57
vid4,317,153.91,179.83,139.22,167.03,167.36,127.87
vid4,318,146.58,177.97,139.29,166.13,167.77,126.65
vid4,319,147.94,179.23,142.56,165.18,167.78,126.83
vid4,320,145.12,178.0,141.37,166.04,170.82,125.96
vid4,321,146.7,176.77,137.0,163.61,168.95,123.99
vid4,322,152.46,175.26,131.61,163.92,170.18,122.34
vid4,323,159.7,176.4,135.79,165.36,171.34,124.47
vid4,324,168.74,176.13,127.04,166.82,172.92,125.17
vid4,325,172.82,176.07,124.57,167.36,173.05,126.97
vid4,326,173.15,175.25,128.08,168.32,173.56,125.38
vid4,327,175.37,175.87,123.25,168.78,172.75,125.45
vid4,328,176.37,175.79,123.83,166.56,170.76,126.62
vid4,329,175.41,175.55,118.74,163.73,168.88,124.19
vid4,330,174.57,172.6,130.28,158.18,165.09,122.79
vid4,331,170.0,170.62,126.88,152.96,161.79,127.97
vid4,332,169.37,170.98,131.4,150.82,162.07,134.0
vid4,333,160.57,168.11,133.11,144.09,160.68,134.81
vid4,334,160.36,168.45,132.38,141.93,161.31,138.66
vid4,335,163.42,171.73,136.35,142.95,162.89,139.3
vid4,336,166.1,173.09,138.16,142.28,160.8,137.25
vid4,337,171.62,173.66,134.67,140.82,157.79,133.94
vid4,338,174.61,173.62,136.82,150.3,159.45,137.78
vid4,339,174.27,173.22,144.64,156.73,161.12,135.12
vid4,340,176.03,173.7,143.68,161.95,163.44,136.39
vid4,341,177.08,175.07,143.05,163.76,165.09,134.53
vid4,342,177.46,176.34,142.35,165.31,167.33,134.33
vid4,343,178.45,177.1,140.08,165.74,167.42,133.6
vid4,344,178.64,176.52,139.81,165.52,167.65,130.43
vid4,345,178.04,176.53,140.05,167.16,170.9,132.53
vid4,346,178.16,177.41,139.18,166.43,170.42,132.59
vid4,347,176.4,177.2,143.42,165.88,170.12,131.62
vid4,348,177.51,178.6,142.32,165.41,170.9,130.32
vid4,349,177.91,179.8,134.68,165.99,172.81,128.63
vid4,350,178.02,178.9,130.66,167.57,174.49,127.68
